estimated_x,estimated_y,estimated_z
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.578.003,132.517.426,157.156.006
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
143.636.642,131.639.343,157.273.285
